#F spec1.dat
#E 1642725586
#D Thu Jan 20 18:39:46 2022
#C Bluesky  user = prjemian  host = zap
#O0
#o0

#S 1  scan(detectors=['det'], num=41, args='['motor', -1.2, 1.2]', per_step='None')
#D Thu Jan 20 18:39:05 2022
#C Thu Jan 20 18:39:05 2022.  plan_type = generator
#C Thu Jan 20 18:39:05 2022.  uid = 5b0bd407-8d46-405a-99c3-7aa3762c89de
#MD uid = 5b0bd407-8d46-405a-99c3-7aa3762c89de
#MD detectors = ['det']
#MD motors = ['motor']
#MD num_intervals = 40
#MD num_points = 41
#MD plan_pattern = inner_product
#MD plan_pattern_args = {'num': 41, 'args': ["EpicsMotor(prefix='gp:m1', name='motor', settle_time=0.0, timeout=None, read_attrs=['user_readback', 'user_setpoint'], configuration_attrs=['user_offset', 'user_offset_dir', 'velocity', 'acceleration', 'motor_egu'])", -1.2, 1.2]}
#MD plan_pattern_module = bluesky.plan_patterns
#MD versions = {'ophyd': '1.6.3', 'bluesky': '1.8.1'}
#P0
#N 5
#L motor  Epoch_float  Epoch  motor_user_setpoint  det
-1.2 1.5562517642974854 2 -1.2 6.208826368332781e-58
-1.1400000000000001 1.8690330982208252 2 -1.14 8.225938114726558e-50
-1.08 2.1696038246154785 2 -1.08 2.978927612062688e-42
-1.02 2.4695770740509033 2 -1.02 2.9105453987066526e-35
-0.96 2.769810676574707 3 -0.96 7.459369967449166e-29
-0.9 3.070307731628418 3 -0.8999999999999999 5.2245509661226555e-23
-0.84 3.3710434436798096 3 -0.84 1.0254251055715733e-17
-0.78 3.6717324256896973 4 -0.78 5.248619401129142e-13
-0.72 3.9720773696899414 4 -0.72 7.437374404750917e-09
-0.66 4.2735373973846436 4 -0.6599999999999999 2.8434934475133625e-05
-0.6 4.5744616985321045 5 -0.6 0.028179203512924533
-0.54 4.875318765640259 5 -0.54 7.80165262262383
-0.48 5.175466299057007 5 -0.48 589.2368879483029
-0.42 5.476356506347656 5 -0.41999999999999993 11971.206591930919
-0.36 5.776944160461426 6 -0.36 65597.58415977143
-0.3 6.078157663345337 6 -0.30000000000000004 97292.3622376468
-0.24 6.380141019821167 6 -0.24 39940.80427795115
-0.18 6.6796486377716064 7 -0.17999999999999994 4173.467347864721
-0.12 6.982546806335449 7 -0.11999999999999988 128.25724940181385
-0.06 7.281822919845581 7 -0.06000000000000005 0.9964322602647062
0.0 7.5817461013793945 8 0.0 0.0021176317429275537
0.06 7.882521152496338 8 0.06000000000000005 1.231720964646804e-06
0.12 8.18346357345581 8 0.11999999999999988 1.969546627352259e-10
0.18 8.484413385391235 8 0.17999999999999994 8.374661603067323e-15
0.24 8.787115812301636 9 0.24 9.796064725983596e-20
0.3 9.085658311843872 9 0.30000000000000004 2.9741493254256284e-25
0.36 9.385645627975464 9 0.3600000000000001 2.491618814806216e-31
0.42 9.686424255371094 10 0.41999999999999993 5.943508295930098e-38
0.48 9.987596035003662 10 0.48 3.5233838654495175e-45
0.54 10.28749418258667 10 0.54 6.138005093262309e-53
0.6 10.588348150253296 11 0.5999999999999999 2.677205396682797e-61
0.66 10.889552354812622 11 0.6599999999999999 3.397625180292539e-70
0.72 11.19000768661499 11 0.72 1.1105193732811349e-79
0.78 11.491099119186401 11 0.78 9.741823985023824e-90
0.84 11.79135537147522 12 0.8400000000000001 2.4001349682160523e-100
0.9 12.093093156814575 12 0.9000000000000001 1.5924347660750342e-111
0.96 12.393579006195068 12 0.9600000000000002 2.7364219907227037e-123
1.02 12.694791555404663 13 1.0199999999999998 1.3135278225291784e-135
1.08 12.996890306472778 13 1.0799999999999998 1.7286717870493448e-148
1.1400000000000001 13.297421932220459 13 1.14 6.031789620230932e-162
1.2 13.597868919372559 14 1.2 5.730838228538415e-176
#C Thu Jan 20 18:39:19 2022.  num_events_primary = 41
#C Thu Jan 20 18:39:19 2022.  exit_status = success
