#F test_specdata.txt
#E 1510767262
#D Wed Nov 15 11:34:22 2017
#C BlueSky  user = prjemian  host = ookhd

#S 531  tune_centroid(detectors=['det'], motor=['motor'], start=5, stop=0, num_points=10, min_step=0.1)
#D Wed Oct 25 11:04:52 2017
#C plan_type = generator
#C uid = e48690d5-6f8a-48c8-9a14-da61f3034faf
#C time = 2017-10-25 11:04:52.568725
#MD EPICS_BASE = /usr/local/epics/base
#MD EPICS_BASE_BIN = /usr/local/epics/base/bin/linux-x86_64
#MD EPICS_BASE_LIB = /usr/local/epics/base/lib/linux-x86_64
#MD EPICS_CA_MAX_ARRAY_BYTES = 16777216
#MD EPICS_EXT = /usr/local/epics/opi
#MD EPICS_EXT_BIN = /usr/local/epics/opi/bin/linux-x86_64
#MD EPICS_EXT_LIB = /usr/local/epics/opi/lib/linux-x86_64
#MD EPICS_HOST_ARCH = linux-x86_64
#MD EPICS_ROOT = /usr/local/epics
#MD beamline_id = developer__YOUR_BEAMLINE_HERE
#MD login_id = prjemian@ookhd
#MD motors = ['motor']
#MD peak_position = -1.2985921227496187
#MD pid = 19315
#MD proposal_id = None
#N 32
#L motor  Epoch_float  Epoch  det
5 0.037964582443237305 0 0.0
4.444444444444445 0.1056051254272461 0 0.0
3.8888888888888893 0.11757349967956543 0 0.0
3.333333333333334 0.12701654434204102 0 0.0
2.7777777777777786 0.19075918197631836 0 0.0
2.222222222222223 0.19816303253173828 0 0.0
1.6666666666666676 0.20757150650024414 0 0.0
1.111111111111112 0.21465158462524414 0 0.0
0.5555555555555565 0.2784872055053711 0 8.655924048189293e-295
8.881784197001252e-16 0.2863476276397705 0 1.6160884138196082e-142
-0.5555555555555547 0.29720425605773926 0 7.294811805242391e-44
0.5555555555555565 0.3043229579925537 0 8.655924048189293e-295
0.3086419753086429 0.36608386039733887 0 1.708891609340665e-220
0.06172839506172931 0.37327122688293457 0 8.653299398392931e-157
-0.1851851851851843 0.3821220397949219 0 1.1238674047837472e-103
-0.4320987654320979 0.3890380859375 0 3.7438164964329074e-61
-0.6790123456790115 0.45316576957702637 0 3.1987490067530627e-29
-0.925925925925925 0.46432042121887207 0 7.009901362989508e-08
-1.1728395061728387 0.47398948669433594 0 3940.123026863409
-1.4197530864197523 0.4808986186981201 0 5680.332925028807
-1.6666666666666659 0.5432174205780029 1 2.1004092927325288e-07
-1.9135802469135794 0.5507850646972656 1 1.9920498586614864e-28
-0.8248007933962944 0.5602972507476807 1 2.432317893920986e-15
-0.9345401623949227 0.5675933361053467 1 2.5063876555261646e-07
-1.044279531393551 0.6312944889068604 1 0.2089487760158686
-1.1540189003921792 0.6388533115386963 1 1409.2728997472057
-1.2637582693908076 0.6509127616882324 1 76897.8239120241
-1.373497638389436 0.6579318046569824 1 33946.63104448569
-1.4832370073880643 0.7262532711029053 1 121.23918011411085
-1.5929763763866926 0.7338182926177979 1 0.003503103604864571
-1.702715745385321 0.7428233623504639 1 8.188920471862085e-10
-1.8124551143839494 0.7505788803100586 1 1.5486882575994086e-18
#C num_events_primary = 32
#C time = 2017-10-25 11:04:53.381154
#C exit_status = success
